entrez,symbol
8200,GDF5
8202,NCOA3
8204,NRIP1
139285,AMER1
8216,LZTR1
25,ABL1
8218,CLTCL1
27,ABL2
32,ACACB
8233,ZRSR2
8239,USP9X
48,ACO1
8241,RBM10
8242,KDM5C
8243,SMC1A
90167,FRMD7
442425,FOXB2
60,ACTB
71,ACTG1
442444,FAM47C
90,ACVR1
91,ACVR1B
114780,PKD1L2
93,ACVR2B
92,ACVR2A
114784,CSMD2
8289,ARID1A
114787,GPRIN1
8291,DYSF
114788,CSMD3
102,ADAM10
114790,STK11IP
8295,TRRAP
8294,H4C9
57448,BIRC6
107,ADCY1
114795,TMEM132B
8301,PICALM
114,ADCY8
139378,ADGRG4
114805,GALNT13
119,ADD2
8312,AXIN1
120,ADD3
8314,BAP1
8313,AXIN2
57466,SCAF4
125,ADH1B
114815,SORCS1
8321,FZD1
57478,USP31
114825,PWWP2A
221322,TBC1D32
8332,H2AC16
8334,H2AC6
57486,NLN
8336,H2AC17
143,PARP4
8338,H2AC20
8339,H2BC8
148,ADRA1A
57492,ARID1B
142,PARP1
8343,H2BC7
8344,H2BC6
8345,H2BC9
8347,H2BC4
8348,H2BC17
401565,FAM166A
8351,H3C4
8352,H3C3
57507,ZNF608
8355,H3C8
8357,H3C10
8360,H4C4
173,AFM
8365,H4C8
8366,H4C2
8367,H4C5
57521,RPTOR
176,ACAN
729262,NUTM2B
221357,GSTA5
57520,HECW2
182,JAG1
57529,RTL9
186,AGTR2
187,APLNR
190,NR0B1
57537,SORCS2
8394,PIP5K1A
8395,PIP5K1B
207,AKT1
208,AKT2
57554,LRRC7
213,ALB
8406,SRPX
8405,SPOP
217,ALDH2
114907,FBXO32
57563,KLHL8
57573,ZNF471
8425,LTBP4
238,ALK
239,ALOX12
8437,RASAL1
8439,NSMAF
57592,ZNF687
57591,MRTFA
8450,CUL4B
8452,CUL3
57605,PITPNM2
8454,CUL1
57616,TSHZ3
273,AMPH
57619,SHROOM3
8471,IRS4
280,AMY2B
286,ANK1
287,ANK2
288,ANK3
8481,OFD1
290,ANPEP
57634,EP400
8491,MAP4K3
8493,PPM1D
57646,USP28
301,ANXA1
8496,PPFIBP1
90417,KNSTRN
8502,PKP4
221496,LEMD2
8506,CNTNAP1
316,AOX1
57663,USP29
324,APC
8517,IKBKG
57670,KIAA1549
329,BIRC2
330,BIRC3
57674,RNF213
332,BIRC5
331,XIAP
57678,GPAM
57680,CHD8
338,APOB
57685,CACHD1
8534,CHST1
57696,DDX55
57697,FANCM
57698,SHTN1
355,FAS
8550,MAPKAPK5
221545,C6orf136
139628,FOXR2
367,AR
369,ARAF
57716,PRX
373,TRIM23
374,AREG
8564,KMO
57721,METTL14
8570,KHSRP
57724,EPG5
388,RHOB
387,RHOA
394,ARHGAP5
8590,OR6A2
399,RHOH
405,ARNT
197021,LCTL
414,ARSD
8621,CDK13
8626,TP63
435,ASL
8633,UNC5C
8642,DCHS1
8648,NCOA1
8651,SOCS1
460,ASTN1
463,ZFHX3
466,ATF1
8658,TNKS
468,ATF4
8661,EIF3A
471,ATIC
221656,KDM1B
472,ATM
476,ATP1A1
57820,CCNB1IP1
488,ATP2A2
57835,SLC4A5
492,ATP2B3
495,ATP4A
506,ATP5F1B
8701,DNAH11
8703,B4GALT3
115209,OMA1
197131,UBR1
526,ATP6V1B2
8726,EED
147991,DPY19L3
139804,RBMXL3
8737,RIPK1
546,ATRX
547,KIF1A
545,ATR
8743,TNFSF10
164395,TTLL9
563,AZGP1
8756,ADAM7
567,B2M
8764,TNFRSF14
577,ADGRB3
580,BARD1
581,BAX
115273,RAB42
595,CCND1
8788,DLK1
596,BCL2
598,BCL2L1
599,BCL2L2
602,BCL3
604,BCL6
8797,TNFRSF10A
605,BCL7A
607,BCL9
608,TNFRSF17
613,BCR
8805,TRIM24
8807,IL18RAP
8815,BANF1
639,PRDM1
641,BLM
8833,GMPS
8841,HDAC3
8842,PROM1
197258,FCSK
653,BMP5
8848,TSC22D1
657,BMPR1A
115350,FCRL1
8856,NR1I2
666,BOK
8859,STK19
667,DST
8861,LDB1
668,FOXL2
672,BRCA1
673,BRAF
675,BRCA2
677,ZFP36L1
678,ZFP36L2
8877,SPHK1
688,KLF5
8880,FUBP1
8883,NAE1
694,BTG1
695,BTK
701,BUB1B
8894,EIF2S2
49855,SCAPER
710,SERPING1
221895,JAZF1
8904,CPNE1
90827,ZNF479
718,C3
8912,CACNA1H
8915,BCL10
8924,HERC2
8925,HERC1
8929,PHOX2B
221935,SDK1
221937,FOXK1
773,CACNA1A
775,CACNA1C
776,CACNA1D
8969,H2AC11
8970,H2BC11
777,CACNA1E
8972,MGAM
781,CACNA2D1
780,DDR1
8975,USP13
8989,TRPA1
799,CALCR
800,CALD1
131873,COL6A6
8997,KALRN
811,CALR
254778,VXN
353088,ZNF429
833,CARS1
834,CASP1
836,CASP3
841,CASP8
842,CASP9
9037,SEMA5A
9039,UBA3
9053,MAP7
861,RUNX1
862,RUNX1T1
863,CBFA2T3
865,CBFB
867,CBL
868,CBLB
148327,CREB3L4
90993,CREB3L1
887,CCKBR
892,CCNC
894,CCND2
896,CCND3
898,CCNE1
9096,TBX18
9098,USP6
9100,USP10
9101,USP8
910,CD1B
912,CD1D
9113,LATS1
924,CD7
9122,SLC16A4
930,CD19
9123,SLC16A3
9125,CNOT9
9126,SMC3
9130,FAM50A
940,CD28
9133,CCNB2
9135,RABEP1
944,TNFSF8
948,CD36
9144,SYNGR2
955,ENTPD6
965,CD58
970,CD70
9162,DGKI
972,CD74
973,CD79A
974,CD79B
9172,MYOM2
9173,IL1RL1
9175,MAP3K13
983,CDK1
9180,OSMR
995,CDC25C
996,CDC27
998,CDC42
999,CDH1
1000,CDH2
1008,CDH10
9201,DCLK1
1010,CDH12
222194,RSBN1L
1012,CDH13
115701,ALPK2
1009,CDH11
1015,CDH17
1016,CDH18
1017,CDK2
1018,CDK3
1019,CDK4
1020,CDK5
1021,CDK6
9212,AURKB
1024,CDK8
1025,CDK9
1026,CDKN1A
1027,CDKN1B
1029,CDKN2A
1030,CDKN2B
1031,CDKN2C
9221,NOLC1
91156,IGFN1
1045,CDX2
