Compound,Channel,Experiment,Dose,Response
5-FU,A2058,0,0.0045,0.9079999999999999
5-FU,A2058,1,0.0045,1.01
5-FU,A2058,2,0.0045,1.01
5-FU,A2058,3,0.0045,1.182
5-FU,A2058,4,0.0045,0.958
5-FU,A2058,5,0.0045,1.032
5-FU,A2058,0,0.013999999999999999,0.922
5-FU,A2058,1,0.013999999999999999,1.081
5-FU,A2058,2,0.013999999999999999,0.971
5-FU,A2058,3,0.013999999999999999,1.064
5-FU,A2058,4,0.013999999999999999,1.04
5-FU,A2058,5,0.013999999999999999,1.163
5-FU,A2058,0,0.04,0.973
5-FU,A2058,1,0.04,1.112
5-FU,A2058,2,0.04,1.055
5-FU,A2058,3,0.04,1.1
5-FU,A2058,4,0.04,1.036
5-FU,A2058,5,0.04,1.069
5-FU,A2058,0,0.12,0.9279999999999999
5-FU,A2058,1,0.12,1.071
5-FU,A2058,2,0.12,0.9590000000000001
5-FU,A2058,3,0.12,1.1079999999999999
5-FU,A2058,4,0.12,1.04
5-FU,A2058,5,0.12,1.145
5-FU,A2058,0,0.37,1.02
5-FU,A2058,1,0.37,1.1159999999999999
5-FU,A2058,2,0.37,1.021
5-FU,A2058,3,0.37,1.054
5-FU,A2058,4,0.37,0.956
5-FU,A2058,5,0.37,1.024
5-FU,A2058,0,1.1,0.965
5-FU,A2058,1,1.1,0.982
5-FU,A2058,2,1.1,0.953
5-FU,A2058,3,1.1,0.9890000000000001
5-FU,A2058,4,1.1,0.885
5-FU,A2058,5,1.1,1.013
5-FU,A2058,0,3.4,0.716
5-FU,A2058,1,3.4,0.8640000000000001
5-FU,A2058,2,3.4,0.7659999999999999
5-FU,A2058,3,3.4,0.754
5-FU,A2058,4,3.4,0.7979999999999999
5-FU,A2058,5,3.4,0.815
5-FU,A2058,0,10.0,0.5529999999999999
5-FU,A2058,1,10.0,0.6409999999999999
5-FU,A2058,2,10.0,0.563
5-FU,A2058,3,10.0,0.532
5-FU,A2058,4,10.0,0.536
5-FU,A2058,5,10.0,0.593
5-FU,A2780,0,0.0045,0.9640000000000001
5-FU,A2780,1,0.0045,0.938
5-FU,A2780,2,0.0045,1.105
5-FU,A2780,3,0.0045,0.988
5-FU,A2780,4,0.0045,1.031
5-FU,A2780,5,0.0045,1.008
5-FU,A2780,0,0.013999999999999999,1.081
5-FU,A2780,1,0.013999999999999999,1.041
5-FU,A2780,2,0.013999999999999999,0.987
5-FU,A2780,3,0.013999999999999999,0.96
5-FU,A2780,4,0.013999999999999999,1.068
5-FU,A2780,5,0.013999999999999999,1.041
5-FU,A2780,0,0.04,0.966
5-FU,A2780,1,0.04,1.033
5-FU,A2780,2,0.04,1.013
5-FU,A2780,3,0.04,0.98
5-FU,A2780,4,0.04,0.997
5-FU,A2780,5,0.04,0.973
5-FU,A2780,0,0.12,1.03
5-FU,A2780,1,0.12,0.987
5-FU,A2780,2,0.12,0.9420000000000001
5-FU,A2780,3,0.12,0.97
5-FU,A2780,4,0.12,1.026
5-FU,A2780,5,0.12,1.094
5-FU,A2780,0,0.37,0.9840000000000001
5-FU,A2780,1,0.37,0.904
5-FU,A2780,2,0.37,0.953
5-FU,A2780,3,0.37,0.889
5-FU,A2780,4,0.37,0.897
5-FU,A2780,5,0.37,0.902
5-FU,A2780,0,1.1,0.608
5-FU,A2780,1,1.1,0.521
5-FU,A2780,2,1.1,0.655
5-FU,A2780,3,1.1,0.5710000000000001
5-FU,A2780,4,1.1,0.7859999999999999
5-FU,A2780,5,1.1,0.7140000000000001
5-FU,A2780,0,3.4,0.245
5-FU,A2780,1,3.4,0.222
5-FU,A2780,2,3.4,0.24
5-FU,A2780,3,3.4,0.213
5-FU,A2780,4,3.4,0.228
5-FU,A2780,5,3.4,0.19699999999999998
5-FU,A2780,0,10.0,0.14
5-FU,A2780,1,10.0,0.132
5-FU,A2780,2,10.0,0.128
5-FU,A2780,3,10.0,0.14400000000000002
5-FU,A2780,4,10.0,0.132
5-FU,A2780,5,10.0,0.125
5-FU,A375,0,0.0045,0.9420000000000001
5-FU,A375,1,0.0045,0.753
5-FU,A375,2,0.0045,0.975
5-FU,A375,3,0.0045,1.073
5-FU,A375,4,0.0045,1.045
5-FU,A375,5,0.0045,0.9520000000000001
5-FU,A375,0,0.013999999999999999,0.94
5-FU,A375,1,0.013999999999999999,0.835
5-FU,A375,2,0.013999999999999999,0.95
5-FU,A375,3,0.013999999999999999,0.977
5-FU,A375,4,0.013999999999999999,0.9990000000000001
5-FU,A375,5,0.013999999999999999,1.046
5-FU,A375,0,0.04,0.91
5-FU,A375,1,0.04,0.8340000000000001
5-FU,A375,2,0.04,0.8959999999999999
5-FU,A375,3,0.04,1.1079999999999999
5-FU,A375,4,0.04,0.9440000000000001
5-FU,A375,5,0.04,1.001
5-FU,A375,0,0.12,0.932
5-FU,A375,1,0.12,0.8390000000000001
5-FU,A375,2,0.12,0.946
5-FU,A375,3,0.12,0.971
5-FU,A375,4,0.12,1.061
5-FU,A375,5,0.12,0.938
5-FU,A375,0,0.37,1.1840000000000002
5-FU,A375,1,0.37,1.153
5-FU,A375,2,0.37,1.08
5-FU,A375,3,0.37,1.111
5-FU,A375,4,0.37,0.889
5-FU,A375,5,0.37,0.924
5-FU,A375,0,1.1,1.143
5-FU,A375,1,1.1,1.1059999999999999
5-FU,A375,2,1.1,1.1520000000000001
5-FU,A375,3,1.1,1.133
5-FU,A375,4,1.1,0.9540000000000001
5-FU,A375,5,1.1,0.879
5-FU,A375,0,3.4,1.124
5-FU,A375,1,3.4,1.073
5-FU,A375,2,3.4,1.0590000000000002
5-FU,A375,3,3.4,1.075
5-FU,A375,4,3.4,0.9
5-FU,A375,5,3.4,0.852
5-FU,A375,0,10.0,0.614
5-FU,A375,1,10.0,0.5710000000000001
5-FU,A375,2,10.0,0.631
5-FU,A375,3,10.0,0.534
5-FU,A375,4,10.0,0.47700000000000004
5-FU,A375,5,10.0,0.522
5-FU,A427,0,0.0045,0.912
5-FU,A427,1,0.0045,1.023
5-FU,A427,2,0.0045,0.872
5-FU,A427,0,0.013999999999999999,0.8490000000000001
5-FU,A427,1,0.013999999999999999,0.9129999999999999
5-FU,A427,2,0.013999999999999999,0.792
5-FU,A427,0,0.04,0.856
5-FU,A427,1,0.04,1.1840000000000002
5-FU,A427,2,0.04,0.8320000000000001
5-FU,A427,0,0.12,0.8640000000000001
5-FU,A427,1,0.12,0.929
5-FU,A427,2,0.12,0.91
5-FU,A427,0,0.37,1.1320000000000001
5-FU,A427,1,0.37,0.9840000000000001
5-FU,A427,2,0.37,0.976
5-FU,A427,0,1.1,0.963
5-FU,A427,1,1.1,0.932
5-FU,A427,2,1.1,0.8590000000000001
5-FU,A427,0,3.4,0.733
5-FU,A427,1,3.4,0.544
5-FU,A427,2,3.4,0.654
5-FU,A427,0,10.0,0.26899999999999996
5-FU,A427,1,10.0,0.263
5-FU,A427,2,10.0,0.258
5-FU,CAOV3,0,0.0045,0.983
5-FU,CAOV3,1,0.0045,0.948
5-FU,CAOV3,2,0.0045,1.087
5-FU,CAOV3,3,0.0045,0.9470000000000001
5-FU,CAOV3,4,0.0045,1.178
5-FU,CAOV3,5,0.0045,1.064
5-FU,CAOV3,0,0.013999999999999999,0.977
5-FU,CAOV3,1,0.013999999999999999,0.914
5-FU,CAOV3,2,0.013999999999999999,1.226
5-FU,CAOV3,3,0.013999999999999999,1.044
5-FU,CAOV3,4,0.013999999999999999,1.138
5-FU,CAOV3,5,0.013999999999999999,0.986
5-FU,CAOV3,0,0.04,1.155
5-FU,CAOV3,1,0.04,0.9840000000000001
5-FU,CAOV3,2,0.04,1.217
5-FU,CAOV3,3,0.04,0.915
5-FU,CAOV3,4,0.04,1.26
5-FU,CAOV3,5,0.04,0.9990000000000001
5-FU,CAOV3,0,0.12,1.087
5-FU,CAOV3,1,0.12,1.136
5-FU,CAOV3,2,0.12,0.953
5-FU,CAOV3,3,0.12,0.9570000000000001
5-FU,CAOV3,4,0.12,1.051
5-FU,CAOV3,5,0.12,1.058
5-FU,CAOV3,0,0.37,0.9670000000000001
5-FU,CAOV3,1,0.37,1.062
5-FU,CAOV3,2,0.37,1.113
5-FU,CAOV3,3,0.37,0.856
5-FU,CAOV3,4,0.37,1.057
