Compound,Channel,Experiment,Dose,Response
5-FU,A2058,0,0.0045,9.200000000000003
5-FU,A2058,1,0.0045,-1.0
5-FU,A2058,2,0.0045,-1.0
5-FU,A2058,3,0.0045,-18.19999999999999
5-FU,A2058,4,0.0045,4.200000000000003
5-FU,A2058,5,0.0045,-3.200000000000003
5-FU,A2058,0,0.014,7.799999999999997
5-FU,A2058,1,0.014,-8.099999999999994
5-FU,A2058,2,0.014,2.9000000000000057
5-FU,A2058,3,0.014,-6.400000000000006
5-FU,A2058,4,0.014,-4.0
5-FU,A2058,5,0.014,-16.299999999999997
5-FU,A2058,0,0.04,2.700000000000003
5-FU,A2058,1,0.04,-11.200000000000017
5-FU,A2058,2,0.04,-5.5
5-FU,A2058,3,0.04,-10.000000000000014
5-FU,A2058,4,0.04,-3.6000000000000085
5-FU,A2058,5,0.04,-6.8999999999999915
5-FU,A2058,0,0.12,7.199999999999989
5-FU,A2058,1,0.12,-7.099999999999994
5-FU,A2058,2,0.12,4.1000000000000085
5-FU,A2058,3,0.12,-10.800000000000011
5-FU,A2058,4,0.12,-4.0
5-FU,A2058,5,0.12,-14.5
5-FU,A2058,0,0.37,-2.0
5-FU,A2058,1,0.37,-11.600000000000009
5-FU,A2058,2,0.37,-2.0999999999999943
5-FU,A2058,3,0.37,-5.400000000000006
5-FU,A2058,4,0.37,4.400000000000006
5-FU,A2058,5,0.37,-2.4000000000000057
5-FU,A2058,0,1.1,3.5
5-FU,A2058,1,1.1,1.7999999999999972
5-FU,A2058,2,1.1,4.700000000000003
5-FU,A2058,3,1.1,1.0999999999999943
5-FU,A2058,4,1.1,11.5
5-FU,A2058,5,1.1,-1.299999999999983
5-FU,A2058,0,3.4,28.400000000000006
5-FU,A2058,1,3.4,13.599999999999994
5-FU,A2058,2,3.4,23.400000000000006
5-FU,A2058,3,3.4,24.599999999999994
5-FU,A2058,4,3.4,20.200000000000003
5-FU,A2058,5,3.4,18.5
5-FU,A2058,0,10.0,44.7
5-FU,A2058,1,10.0,35.900000000000006
5-FU,A2058,2,10.0,43.7
5-FU,A2058,3,10.0,46.8
5-FU,A2058,4,10.0,46.4
5-FU,A2058,5,10.0,40.7
5-FU,A2780,0,0.0045,3.6000000000000085
5-FU,A2780,1,0.0045,6.200000000000003
5-FU,A2780,2,0.0045,-10.5
5-FU,A2780,3,0.0045,1.2000000000000028
5-FU,A2780,4,0.0045,-3.0999999999999943
5-FU,A2780,5,0.0045,-0.7999999999999972
5-FU,A2780,0,0.014,-8.099999999999994
5-FU,A2780,1,0.014,-4.099999999999994
5-FU,A2780,2,0.014,1.2999999999999972
5-FU,A2780,3,0.014,4.0
5-FU,A2780,4,0.014,-6.800000000000011
5-FU,A2780,5,0.014,-4.099999999999994
5-FU,A2780,0,0.04,3.4000000000000057
5-FU,A2780,1,0.04,-3.299999999999997
5-FU,A2780,2,0.04,-1.299999999999983
5-FU,A2780,3,0.04,2.0
5-FU,A2780,4,0.04,0.29999999999999716
5-FU,A2780,5,0.04,2.700000000000003
5-FU,A2780,0,0.12,-3.0
5-FU,A2780,1,0.12,1.2999999999999972
5-FU,A2780,2,0.12,5.800000000000011
5-FU,A2780,3,0.12,3.0
5-FU,A2780,4,0.12,-2.6000000000000085
5-FU,A2780,5,0.12,-9.400000000000006
5-FU,A2780,0,0.37,1.5999999999999943
5-FU,A2780,1,0.37,9.599999999999994
5-FU,A2780,2,0.37,4.700000000000003
5-FU,A2780,3,0.37,11.099999999999994
5-FU,A2780,4,0.37,10.299999999999997
5-FU,A2780,5,0.37,9.799999999999997
5-FU,A2780,0,1.1,39.2
5-FU,A2780,1,1.1,47.9
5-FU,A2780,2,1.1,34.5
5-FU,A2780,3,1.1,42.89999999999999
5-FU,A2780,4,1.1,21.400000000000006
5-FU,A2780,5,1.1,28.599999999999994
5-FU,A2780,0,3.4,75.5
5-FU,A2780,1,3.4,77.8
5-FU,A2780,2,3.4,76.0
5-FU,A2780,3,3.4,78.7
5-FU,A2780,4,3.4,77.2
5-FU,A2780,5,3.4,80.3
5-FU,A2780,0,10.0,86.0
5-FU,A2780,1,10.0,86.8
5-FU,A2780,2,10.0,87.2
5-FU,A2780,3,10.0,85.6
5-FU,A2780,4,10.0,86.8
5-FU,A2780,5,10.0,87.5
5-FU,A375,0,0.0045,5.800000000000011
5-FU,A375,1,0.0045,24.700000000000003
