BatchID,cell_line,drug_name,Drug_concentration (microM),viability1,viability2,viability3,viability4,viability5,viability6,mu/muMax,X/X0
1,A2058,5-FU,0.0045,0.908,1.010,1.010,1.182,0.958,1.032,1.005,1.007
1,A2058,5-FU,0.014,0.922,1.081,0.971,1.064,1.040,1.163,1.026,1.036
1,A2058,5-FU,0.04,0.973,1.112,1.055,1.100,1.036,1.069,1.031,1.043
1,A2058,5-FU,0.12,0.928,1.071,0.959,1.108,1.040,1.145,1.027,1.039
1,A2058,5-FU,0.37,1.020,1.116,1.021,1.054,0.956,1.024,1.011,1.016
1,A2058,5-FU,1.1,0.965,0.982,0.953,0.989,0.885,1.013,0.986,0.981
1,A2058,5-FU,3.4,0.716,0.864,0.766,0.754,0.798,0.815,0.875,0.841
1,A2058,5-FU,10,0.553,0.641,0.563,0.532,0.536,0.593,0.704,0.663
1,A2780,5-FU,0.0045,0.964,0.938,1.105,0.988,1.031,1.008,0.999,0.999
1,A2780,5-FU,0.014,1.081,1.041,0.987,0.960,1.068,1.041,1.016,1.022
1,A2780,5-FU,0.04,0.966,1.033,1.013,0.980,0.997,0.973,0.995,0.994
1,A2780,5-FU,0.12,1.030,0.987,0.942,0.970,1.026,1.094,1.003,1.004
1,A2780,5-FU,0.37,0.984,0.904,0.953,0.889,0.897,0.902,0.961,0.947
1,A2780,5-FU,1.1,0.608,0.521,0.655,0.571,0.786,0.714,0.821,0.781
1,A2780,5-FU,3.4,0.245,0.222,0.240,0.213,0.228,0.197,0.420,0.448
1,A2780,5-FU,10,0.140,0.132,0.128,0.144,0.132,0.125,0.214,0.336
1,A375,5-FU,0.0045,0.942,0.753,0.975,1.073,1.045,0.952,0.982,0.976
1,A375,5-FU,0.014,0.940,0.835,0.950,0.977,0.999,1.046,0.982,0.976
1,A375,5-FU,0.04,0.910,0.834,0.896,1.108,0.944,1.001,0.964,0.951
1,A375,5-FU,0.12,0.932,0.839,0.946,0.971,1.061,0.938,0.972,0.961
1,A375,5-FU,0.37,1.184,1.153,1.080,1.111,0.889,0.924,1.044,1.062
1,A375,5-FU,1.1,1.143,1.106,1.152,1.133,0.954,0.879,1.054,1.078
1,A375,5-FU,3.4,1.124,1.073,1.059,1.075,0.900,0.852,1.031,1.043
1,A375,5-FU,10,0.614,0.571,0.631,0.534,0.477,0.522,0.717,0.675
1,A427,5-FU,0.0045,0.912,1.023,0.872,NULL,NULL,NULL,0.950,0.933
1,A427,5-FU,0.014,0.849,0.913,0.792,NULL,NULL,NULL,0.912,0.885
1,A427,5-FU,0.04,0.856,1.184,0.832,NULL,NULL,NULL,0.916,0.890
1,A427,5-FU,0.12,0.864,0.929,0.910,NULL,NULL,NULL,0.949,0.932
1,A427,5-FU,0.37,1.132,0.984,0.976,NULL,NULL,NULL,0.991,0.988
1,A427,5-FU,1.1,0.963,0.932,0.859,NULL,NULL,NULL,0.962,0.949
1,A427,5-FU,3.4,0.733,0.544,0.654,NULL,NULL,NULL,0.771,0.728
1,A427,5-FU,10,0.269,0.263,0.258,NULL,NULL,NULL,0.278,0.367
1,CAOV3,5-FU,0.0045,0.983,0.948,1.087,0.947,1.178,1.064,1.030,1.043
1,CAOV3,5-FU,0.014,0.977,0.914,1.226,1.044,1.138,0.986,1.020,1.028
1,CAOV3,5-FU,0.04,1.155,0.984,1.217,0.915,1.260,0.999,1.097,1.144
1,CAOV3,5-FU,0.12,1.087,1.136,0.953,0.957,1.051,1.058,1.069,1.100
1,CAOV3,5-FU,0.37,0.967,1.062,1.113,0.856,1.057,1.156,1.075,1.110
1,CAOV3,5-FU,1.1,1.046,1.117,0.931,0.807,1.305,1.136,1.102,1.152
