symbol,entrez
ADH1B,125
ADRA1A,148
JAG1,182
AGTR2,186
ALB,213
APOB,338
ASL,435
ATP4A,495
SERPING1,710
C3,718
CACNA1A,773
CD36,948
CCR5,1234
COL1A2,1278
COL5A1,1289
COL7A1,1294
CSNK1A1,1452
CYP2A7,1549
CYP2C9,1559
CYP2E1,1571
DCTD,1635
ACE,1636
DPYD,1806
SLC26A3,1811
DRD3,1814
DRD5,1816
EDNRB,1910
F5,2153
F8,2157
FGA,2243
G6PC,2538
GABRA1,2554
GABRB2,2561
GBE1,2632
GLI3,2737
GNAT1,2779
GRIA2,2891
GRIA3,2892
GRIK3,2899
GRIN2D,2906
NR3C1,2908
GRM8,2918
GUCY1A2,2977
GUSB,2990
HEXA,3073
HGF,3082
HTR1E,3354
IFIT3,3437
IGF2,3481
IGF2R,3482
IL1A,3552
IL1B,3553
IL2RG,3561
IL4R,3566
ITGA4,3676
ITGB7,3695
LTA4H,4048
LTBP2,4053
MPO,4353
MYH7,4625
NCF2,4688
NOTCH3,4854
NTRK2,4915
OCRL,4952
PDHB,5162
PGR,5241
ABCB1,5243
SERPINA1,5265
PPP3CA,5530
PRLR,5618
PTGFR,5737
RAG1,5896
RAG2,5897
RPGR,6103
RREB1,6239
ATXN1,6310
SCN5A,6331
SPRR2B,6701
TAP1,6890
HNF1B,6928
TGM1,7051
TNF,7124
TP53BP2,7159
TYRP1,7306
VWF,7450
CSDE1,7812
GDF5,8200
PKP4,8502
B4GALT3,8703
MAGED1,9500
SMC4,10051
ABCC5,10057
TM9SF1,10548
USP16,10600
WDR45,11152
U2AF2,11338
NLRP1,22861
PLA2R1,22925
OR5L2,26338
SEMA5B,54437
ATP8B2,57198
NIPA2,81614
NEURL4,84461
NAV3,89795
DDX60L,91351
STRADA,92335
OR4K14,122740
OR4L1,122742
AFMID,125061
OR2T4,127074
BANF2,140836
ZNF483,158399
LRRC55,219527
OR10AG1,282770
LUZP2,338645
AADACL4,343066
OR2W3,343171
OR10R2,343406
HRNR,388697
OR52E8,390079
OR5T1,390155
OR11L1,391189
OR2T33,391195
OR2T35,403244
H3F3C,440093
EIF2AK4,440275
OR2A2,442361
FOXB2,442425
SPANXN2,494119
DUXA,503835
ACTB,60
ADAM10,102
ADCY8,114
ADD3,120
AFM,173
ENTPD6,955
CDC27,996
CDC42,998
CLCN7,1186
CMKLR1,1240
VCAN,1462
GSDME,1687
DIAPH1,1729
DYNC1I1,1780
DOCK2,1794
DPP6,1804
IFI27,3429
IRF5,3663
KARS,3735
LAMA4,3910
LFNG,3955
MARK3,4140
MEF2C,4208
ATXN3,4287
MOV10,4343
MYO1B,4430
MYH2,4620
PAK3,5063
PLCD1,5333
PTPN12,5782
RELA,5970
SALL1,6299
SRSF1,6426
SI,6476
SLC6A2,6530
SLC6A3,6531
TACC1,6867
TG,7038
TGFA,7039
TGFBR1,7046
TP53BP1,7158
TP73,7161
TRO,7216
UGT2B10,7365
XBP1,7494
ZNF133,7692
GLRA3,8001
CUBN,8029
USP5,8078
NSMAF,8439
LDB1,8861
SPHK1,8877
HERC2,8924
TBX18,9096
CD83,9308
NRXN1,9378
CDYL,9425
ATG13,9776
ELMO1,9844
SLC12A6,9990
SIRPB1,10326
MRVI1,10335
NXF1,10482
SMC2,10592
NFAT5,10725
TRIOBP,11078
ADAM29,11086
RRAS2,22800
MRAS,22808
DIS3,22894
EXPH5,23086
SPART,23111
ASTN2,23245
ANKRD12,23253
CTDNEP1,23399
PIK3R5,23533
PNKD,25953
GIGYF2,26058
MLH3,27030
EIF2AK1,27102
PCDH17,27253
DSE,29940
C6orf48,50854
IRAK4,51135
STK26,51765
SDK2,54549
AHI1,54806
SNRK,54861
ZDHHC4,55146
NAT10,55226
TMEM30A,55754
AJAP1,55966
FSTL5,56884
PLSCR4,57088
INTS12,57117
DCLRE1C,64421
ACD,65057
PCDH15,65217
MORC4,79710
CARF,79800
LRRTM4,80059
RUFY1,80230
PABPC1L,80336
KREMEN1,83999
TMPRSS13,84000
IQCG,84223
MCHR2,84539
ST6GAL2,84620
HELZ2,85441
ZNF765,91661
CCNQ,92002
TPTE2,93492
TP53INP1,94241
NLRP3,114548
PKD1L2,114780
LRRIQ3,127255
XIRP2,129446
MUC17,140453
LEMD2,221496
C6orf136,221545
SDK1,221935
FOXK1,221937
HEPACAM2,253012
GXYLT1,283464
TMPRSS11A,339967
EYS,346007
IRF2BP2,359948
FAM111B,374393
CCDC178,374864
POTEC,388468
PPIAL4G,644591
ACTG1,71
ADD2,119
ANPEP,290
AZGP1,563
ZFP36L1,677
CALCR,799
TNFSF8,944
CD70,970
CDH13,1012
CDH18,1016
CLCN4,1183
CNTN1,1272
COL4A2,1284
CTSS,1520
CX3CR1,1524
DNMT3B,1789
E2F3,1871
ECT2,1894
EIF4A1,1973
ELF1,1997
FOXM1,2305
FLT1,2321
FMR1,2332
AFF2,2334
FPR1,2357
GNAI2,2771
GTF2I,2969
HPD,3242
ING1,3621
IRF6,3664
ITIH1,3697
KCNN3,3782
LIMK1,3984
LMX1A,4009
MBD1,4152
MCL1,4170
TRPM1,4308
MNAT1,4331
NEB,4703
NEK2,4751
NKX3-1,4824
PDYN,5173
PPARD,5467
PPP2R5A,5525
PRB4,5545
RFC1,5981
RIT1,6016
SKP2,6502
SLC1A3,6507
SLC15A2,6565
SOAT1,6646
STAT4,6775
TBP,6908
ELOC,6921
TGFBR3,7049
TLL1,7092
TRAF3,7187
TTK,7272
TTN,7273
UBE2D1,7321
SF1,7536
ZFX,7543
MAP3K12,7786
NCOA3,8202
SRPX,8406
RASAL1,8437
MAP4K3,8491
TNFSF10,8743
PROM1,8842
TSC22D1,8848
CPNE1,8904
MAP7,9053
SLC16A4,9122
OSMR,9180
DCLK1,9201
NRG2,9542
BABAM2,9577
RBM39,9584
NUP93,9688
SEMA3E,9723
DCAF1,9730
ZEB2,9839
SMG7,9887
NR1H4,9971
PDCD6,10016
RBM12,10137
RCAN2,10231
TMEM147,10430
SYNCRIP,10492
CCT6B,10693
IQGAP2,10788
NOXA1,10811
RASSF8,11228
IKZF3,22806
KDM2A,22992
RIMS1,22999
CNOT1,23019
KIF21B,23046
SATB2,23314
LEMD3,23592
BHMT2,23743
SIN3A,25942
HINFP,25988
ZBTB20,26137
PTPN22,26191
HAVCR1,26762
RANBP6,26953
RBMX,27316
PACSIN1,29993
CDON,50937
TMEM216,51259
PIGT,51604
CNTN5,53942
CDHR2,54825
SLC6A15,55117
RIOK2,55781
PARD3,56288
TWNK,56652
RHBG,57127
VARS2,57176
SCAF4,57466
GPAM,57678
CHD8,57680
CCDC81,60494
