Name,SMILE,InChiKey,Found in DrugBank,Other InChiKey,Unnamed: 5,Ori,DrugBank,DrugBank uniprot,DrugBank entrez,Integrated uniprotID,Integrated,Integrated entrez
5-FU,O=c1[nH]cc(F)c(=O)[nH]1,GHASVSINZRGABV-UHFFFAOYSA-N,have,,,,"['TYMS', 'CYP2C9']","['P04818', 'P11712']","['7298', '1559']",,,
ABT-888,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,JNAHVYVRKWKWKQ-CYBMUJFWSA-N,have,"JNAHVYVRKWKWKQ-UHFFFAOYSA-N, DSBSVDCHFMEYBX-FFXKMJQXSA-N, JNAHVYVRKWKWKQ-ZDUSSCGKSA-N",,"PARP1, PARP2","['PARP1', 'PARP2']","['P09874', 'Q9UGN5']","['142', '10038']","['P09874', 'Q9UGN5']","['PARP1', 'PARP2']","['142', '10038']"
AZD1775,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,BKWJAKQVGHWELA-UHFFFAOYSA-N,no,,,WEE1,['WEE1'],['P30291'],['7465'],"['P55263', 'Q9Y6R4', 'P30291']","['ADK', 'MAP3K4', 'WEE1']","['132', '4216', '7465']"
BEZ-235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,no,,,"PIK3CA,MTOR",,,,"['P42336', 'P48736', 'O00329', 'P42345', 'Q13315', 'O00443', 'O00750', 'Q9HAZ1']","['PIK3CA', 'PIK3CG', 'PIK3CD', 'MTOR', 'ATM', 'PIK3C2A', 'PIK3C2B', 'CLK4']","['5290', '5294', '5293', '2475', '472', '5286', '5287', '57396']"
BORTEZOMIB,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,have,GXJABQQUPOEUTA-UHFFFAOYSA-N,,,"['PSMB5', 'PSMB1', 'CYP3A4', 'CYP2C19', 'CYP1A2', 'CYP2C9']","['P28074', 'P20618', 'P08684', 'P33261', 'P05177', 'P11712']","['5693', '5689', '1576', '1557', '1544', '1559']","['P28062', 'P28074', 'P28063']","['PSMB8', 'PSMB5', 'Psmb8']","['5696', '5693', '16913']"
CARBOPLATIN,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],OLESAACUTLOWQZ-UHFFFAOYSA-L,have,DVQHYTBCTGYNNN-UHFFFAOYSA-N,,,['XDH'],['P47989'],['7498'],,,
CYCLOPHOSPHAMIDE,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,have,,,,"['NR1I2', 'CYP3A4', 'CYP2B6', 'CYP2C8']","['O75469', 'P08684', 'P20813', 'P10632']","['8856', '1576', '1555', '1558']",,,
DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,have,,,,"['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'KIT', 'PDGFRB', 'STAT5B', 'ABL2', 'FYN', 'BTK', 'NR4A3', 'BCR', 'CSK', 'EPHA5', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'ZAK', 'MAPK14', 'PPAT', 'CYP3A4', 'ABCB1', 'ABCG2']","['P00519', 'P12931', 'P29317', 'P06239', 'P07947', 'P10721', 'P09619', 'P51692', 'P42684', 'P06241', 'Q06187', 'Q92570', 'P11274', 'P41240', 'P54756', 'P54760', 'P09769', 'P42685', 'P11142', 'P07948', 'Q9NYL2', 'Q16539', 'Q06203', 'P08684', 'P08183', 'Q9UNQ0']","['25', '6714', '1969', '3932', '7525', '3815', '5159', '6777', '27', '2534', '695', '8013', '613', '1445', '2044', '2050', '2268', '2444', '3312', '4067', '51776', '1432', '5471', '1576', '5243', '9429']","['P06239', 'P12931', 'P06241', 'P10721', 'P09619', 'P00519', 'Q06187', 'P29317', 'P00523', 'P07333', 'P16277', 'P29323', 'P16234', 'O43353', 'P42681', 'Q13882', 'P00519', 'Q01538', 'Q16832', 'Q08345', 'P07947', 'P10721', 'P08631', 'P29320', 'O15197', 'Q07912', 'P54762', 'P54756', 'P00519', 'P29322', 'P51451', 'Q9Y2K2', 'Q92570', 'P42684', 'Q13163', 'P41240', 'P00519', 'P07948', 'P00533', 'Q9NYL2', 'P54760', 'P42685', 'P54753', 'P68370', 'P11274', 'Q9NWQ8', 'P48729', 'P19623', 'P06240']","['LCK', 'SRC', 'FYN', 'KIT', 'PDGFRB', 'ABL1', 'BTK', 'EPHA2', 'SRC', 'CSF1R', 'Blk', 'EPHB2', 'PDGFRA', 'RIPK2', 'TXK', 'PTK6', 'MYT1', 'DDR2', 'DDR1', 'YES1', 'HCK', 'EPHA3', 'EPHB6', 'TNK2', 'EPHB1', 'EPHA5', 'EPHA8', 'BLK', 'SIK3', 'NR4A3', 'ABL2', 'MAP2K5', 'CSK', 'LYN', 'EGFR', 'MAP3K20', 'EPHB4', 'FRK', 'EPHB3', 'Tuba1a', 'BCR', 'PAG1', 'CSNK1A1', 'SRM', 'Lck']","['3932', '6714', '2534', '3815', '5159', '25', '695', '1969', '396442', '1436', '12143', '2048', '5156', '8767', '7294', '5753', '4661', '4921', '780', '7525', '3055', '2042', '2051', '10188', '2047', '2044', '2046', '640', '23387', '8013', '27', '5607', '1445', '4067', '1956', '51776', '2050', '2444', '2049', '64158', '613', '55824', '1452', '6723', '16818']"
DEXAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,UREBDLICKHMUKA-CXSFZGCWSA-N,have,UREBDLICKHMUKA-UHFFFAOYSA-N,,NR3C1,"['NR3C1', 'NR0B1', 'ANXA1', 'NOS2', 'NR1I2', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP11A1', 'CYP17A1', 'CYP19A1', 'CYP1A1', 'CYP1B1', 'CYP2A6', 'CYP2B6', 'CYP2C19', 'CYP2C8', 'CYP2D6', 'CYP2E1', 'CYP3A43', 'CYP4A11', 'ABCB11', 'ABCB1', 'ABCC2', 'ABCG2', 'SLCO1A2']","['P04150', 'P51843', 'P04083', 'P35228', 'O75469', 'P08684', 'P20815', 'P24462', 'P05108', 'P05093', 'P11511', 'P04798', 'Q16678', 'P11509', 'P20813', 'P33261', 'P10632', 'P10635', 'P05181', 'Q9HB55', 'Q02928', 'O95342', 'P08183', 'Q92887', 'Q9UNQ0', 'P46721']","['2908', '190', '301', '4843', '8856', '1576', '1577', '100861540', '1551', '1583', '1586', '1588', '1543', '1545', '1548', '1555', '1557', '1558', '1565', '1571', '64816', '1579', '8647', '5243', '1244', '9429', '6579']","['P04150', 'P06536', 'P08235']","['NR3C1', 'Nr3c1', 'NR3C2']","['2908', '24413', '4306']"
DINACICLIB,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,PIMQWRZWLQKKBJ-SFHVURJKSA-N,no,PIMQWRZWLQKKBJ-UHFFFAOYSA-N,"1018, 1019","CDK1,CDK2, CDK3, CDK4, CDK5,CDK6",,,,"['P06493', 'Q00535', 'P50750', 'Q00613', 'P24941', 'P51825', 'Q9UHB7', 'Q86YS7', 'Q8TDN4', 'P24864', 'O75909', 'O60563', 'O60583', 'Q9NYV4', 'Q14004', 'Q00534', 'P50613', 'Q8N1B3', 'O43427', 'Q12767', 'Q9P289', 'Q00535', 'P50613', 'P50750']","['CDK1', 'CDK5', 'CDK9', 'HSF1', 'CDK2', 'AFF1', 'AFF4', 'C2CD5', 'CABLES1', 'CCNE1', 'CCNK', 'CCNT1', 'CCNT2', 'CDK12', 'CDK13', 'CDK6', 'CDK7', 'CCNQ', 'FIBP', 'TMEM94', 'STK26']","['983', '1020', '1025', '3297', '1017', '4299', '27125', '9847', '91768', '898', '8812', '904', '905', '51755', '8621', '1021', '1022', '92002', '9158', '9772', '51765']"
