,drug_a_name,drug_b_name,cell_line,synergy,fold,cl_fold,drug_fold,new_drug_fold,random_fold,cluster
0,5-FU,ABT-888,A2058,7.693530166,2.0,2,1.0,1.0,4.0,0
1,5-FU,AZD1775,A2058,13.05268744,1.0,0,1.0,0.0,1.0,0
2,5-FU,BEZ-235,A2058,13.6791116,1.0,4,1.0,1.0,1.0,0
3,5-FU,BORTEZOMIB,A2058,-5.239878448,2.0,2,1.0,0.0,2.0,0
4,5-FU,DASATINIB,A2058,31.12564418,1.0,3,1.0,1.0,2.0,0
5,5-FU,DINACICLIB,A2058,4.331695207,0.0,3,1.0,1.0,1.0,0
6,5-FU,ERLOTINIB,A2058,9.694285755,3.0,2,1.0,1.0,2.0,0
7,5-FU,GELDANAMYCIN,A2058,7.376709237999999,4.0,0,1.0,1.0,4.0,0
8,5-FU,L778123,A2058,9.728264798,1.0,3,1.0,1.0,3.0,0
9,5-FU,LAPATINIB,A2058,9.192138149,1.0,4,1.0,1.0,1.0,0
10,5-FU,MK-2206,A2058,15.9003976,2.0,3,1.0,1.0,1.0,0
11,5-FU,MK-4827,A2058,6.738059724,3.0,3,1.0,1.0,2.0,0
12,5-FU,MK-5108,A2058,1.804895456,2.0,2,1.0,1.0,4.0,0
13,5-FU,MK-8669,A2058,32.33623166,0.0,4,1.0,1.0,0.0,0
14,5-FU,MK-8776,A2058,24.27497218,4.0,0,1.0,1.0,4.0,0
15,5-FU,MK-8776,A2058,22.77045382,4.0,3,1.0,1.0,4.0,0
16,5-FU,PD325901,A2058,2.264834547,0.0,4,1.0,1.0,4.0,0
17,5-FU,SORAFENIB,A2058,1.487456177,2.0,3,1.0,1.0,2.0,0
18,5-FU,SUNITINIB,A2058,9.621620126,3.0,4,1.0,1.0,0.0,0
19,5-FU,ZOLINZA,A2058,-5.508119589,2.0,3,1.0,1.0,4.0,0
20,ABT-888,BEZ-235,A2058,24.07097148,3.0,4,4.0,1.0,2.0,0
21,ABT-888,DINACICLIB,A2058,11.14872164,4.0,2,4.0,1.0,0.0,0
22,ABT-888,GELDANAMYCIN,A2058,22.66972082,3.0,0,4.0,1.0,3.0,0
23,ABT-888,MK-8669,A2058,24.76000602,1.0,0,4.0,1.0,0.0,0
24,ABT-888,MK-8776,A2058,15.4587204,4.0,4,4.0,1.0,2.0,0
25,ABT-888,SN-38,A2058,37.19755244,0.0,0,4.0,1.0,1.0,0
26,ABT-888,SORAFENIB,A2058,36.19616521,1.0,3,4.0,1.0,3.0,0
27,ABT-888,TOPOTECAN,A2058,-1.187531198,,0,4.0,1.0,2.0,0
28,AZD1775,ABT-888,A2058,10.248807800000002,2.0,4,4.0,0.0,3.0,0
29,AZD1775,BEZ-235,A2058,22.52066544,4.0,2,4.0,0.0,3.0,0
30,AZD1775,BEZ-235,A2058,-2.164298041,4.0,4,4.0,0.0,3.0,0
31,AZD1775,BORTEZOMIB,A2058,0.238015548,2.0,3,4.0,0.0,4.0,0
32,AZD1775,DASATINIB,A2058,54.7695814,3.0,0,4.0,0.0,2.0,0
33,AZD1775,DASATINIB,A2058,15.17165908,3.0,0,4.0,0.0,2.0,0
34,AZD1775,DINACICLIB,A2058,-12.36585978,0.0,4,4.0,0.0,3.0,0
35,AZD1775,ERLOTINIB,A2058,6.977962949,3.0,4,4.0,0.0,2.0,0
36,AZD1775,GELDANAMYCIN,A2058,8.144043683,1.0,2,4.0,0.0,3.0,0
37,AZD1775,LAPATINIB,A2058,7.228353734,3.0,2,4.0,0.0,4.0,0
38,AZD1775,MK-2206,A2058,18.8447263,4.0,2,4.0,0.0,4.0,0
39,AZD1775,MK-4827,A2058,32.76872947,1.0,0,4.0,0.0,4.0,0
40,AZD1775,MK-5108,A2058,-9.504263856,0.0,4,4.0,0.0,2.0,0
41,AZD1775,MK-8669,A2058,38.93836298,4.0,3,4.0,0.0,3.0,0
42,AZD1775,MK-8776,A2058,80.17940179,3.0,3,4.0,0.0,3.0,0
43,AZD1775,MK-8776,A2058,58.9737,3.0,4,4.0,0.0,3.0,0
44,AZD1775,PD325901,A2058,9.712938762,4.0,4,4.0,0.0,4.0,0
45,AZD1775,SN-38,A2058,3.074617189,0.0,4,4.0,0.0,4.0,0
46,AZD1775,SORAFENIB,A2058,-7.530589635,1.0,3,4.0,0.0,4.0,0
47,AZD1775,TOPOTECAN,A2058,5.715017592000001,3.0,3,4.0,0.0,4.0,0
48,BEZ-235,DINACICLIB,A2058,12.82913573,0.0,4,2.0,1.0,4.0,0
49,BEZ-235,MK-8776,A2058,65.61573897,2.0,0,2.0,1.0,0.0,0
50,BEZ-235,SN-38,A2058,1.933351029,4.0,3,2.0,1.0,3.0,0
51,BEZ-235,SORAFENIB,A2058,5.71400478,1.0,4,2.0,1.0,3.0,0
52,BEZ-235,MK-8776,A2058,65.61573897,1.0,4,2.0,1.0,0.0,0
53,BORTEZOMIB,BEZ-235,A2058,6.817662576,2.0,0,2.0,0.0,1.0,0
54,BORTEZOMIB,DASATINIB,A2058,21.6596544,2.0,2,2.0,0.0,4.0,0
55,BORTEZOMIB,DINACICLIB,A2058,-20.0646923,1.0,0,2.0,0.0,3.0,0
56,BORTEZOMIB,GELDANAMYCIN,A2058,-12.34475241,4.0,2,2.0,0.0,1.0,0
57,BORTEZOMIB,MK-8669,A2058,-6.295088842999999,1.0,3,2.0,0.0,4.0,0
58,BORTEZOMIB,MK-8776,A2058,16.40949801,3.0,0,2.0,0.0,0.0,0
59,BORTEZOMIB,SN-38,A2058,28.09286244,2.0,0,2.0,0.0,3.0,0
60,BORTEZOMIB,SORAFENIB,A2058,5.680212916,1.0,3,2.0,0.0,4.0,0
61,BORTEZOMIB,TOPOTECAN,A2058,-12.18818438,3.0,2,2.0,0.0,0.0,0
62,CARBOPLATIN,ABT-888,A2058,2.7198664060000004,1.0,3,2.0,1.0,1.0,0
63,CARBOPLATIN,AZD1775,A2058,2.096850168,0.0,4,2.0,0.0,3.0,0
64,CARBOPLATIN,BEZ-235,A2058,-6.074527607,2.0,4,2.0,1.0,0.0,0
65,CARBOPLATIN,BORTEZOMIB,A2058,-15.81349783,1.0,3,2.0,0.0,1.0,0
66,CARBOPLATIN,DASATINIB,A2058,36.55631235,0.0,2,2.0,1.0,0.0,0
67,CARBOPLATIN,DINACICLIB,A2058,-19.95747162,1.0,0,2.0,1.0,2.0,0
68,CARBOPLATIN,ERLOTINIB,A2058,-7.666082701,0.0,3,2.0,1.0,3.0,0
69,CARBOPLATIN,GELDANAMYCIN,A2058,9.354111593999999,1.0,0,2.0,1.0,0.0,0
70,CARBOPLATIN,L778123,A2058,0.331125039,3.0,2,2.0,1.0,4.0,0
71,CARBOPLATIN,LAPATINIB,A2058,-5.284885615,4.0,3,2.0,1.0,4.0,0
72,CARBOPLATIN,MK-2206,A2058,1.353448606,4.0,2,2.0,1.0,1.0,0
73,CARBOPLATIN,MK-4827,A2058,7.73185639,2.0,2,2.0,1.0,3.0,0
