Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,7.6935301658
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,7.7780530601
5-FU_ABT-888_A375,5-FU,ABT-888,A375,-1.1985054379
5-FU_ABT-888_A427,5-FU,ABT-888,A427,2.5956844375
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,-5.1399712212
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,1.9351271188
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,1.4986504517
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,9.4632808694
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-3.7013547459
5-FU_ABT-888_HT29,5-FU,ABT-888,HT29,10.1734339084
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,2.1570044282
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,-8.9792139458
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,6.8992599953
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-5.9963702965
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,NCIH2122,7.8902568144
5-FU_ABT-888_NCIH23,5-FU,ABT-888,NCIH23,-5.0426523057
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-6.6119479166
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,3.6988348484
5-FU_ABT-888_OCUBM,5-FU,ABT-888,OCUBM,3.9321484531
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-10.0688476137
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-2.6775877856
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-2.1732219296
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,-36.4592295758
5-FU_ABT-888_SKMES1,5-FU,ABT-888,SKMES1,-0.0864245794
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,5.0771773842
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,0.1081077187
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-14.5231086273
5-FU_ABT-888_T47D,5-FU,ABT-888,T47D,17.4857954498
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,-1.5839637825
5-FU_ABT-888_VCAP,5-FU,ABT-888,VCAP,1.0961027615
5-FU_ABT-888_ZR751,5-FU,ABT-888,ZR751,-8.6753170435
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,13.0526874408
5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,11.2772729471
5-FU_AZD1775_A375,5-FU,AZD1775,A375,2.7051275464
5-FU_AZD1775_A427,5-FU,AZD1775,A427,7.4940610975
5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,23.9861795387
5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,9.8201244067
5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,10.0575260869
5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,13.9612713843
5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,6.0653890015
5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,-2.712205241
5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-2.0611613488
5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-4.0015073281
5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,23.3811341972
5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,10.773397668
5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,4.3178885654
5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,-7.1158991851
5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,13.5826976918
5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,2.5787085802
