Name,drug_a_name,drug_b_name,cell_line,synergy,fold,cl_fold,drug_fold,new_drug_fold,random_fold,cluster
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,7.693530166,2.0,0,1.0,1.0,4.0,0
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,13.05268744,1.0,0,1.0,0.0,1.0,0
5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,13.6791116,1.0,0,1.0,1.0,1.0,0
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-5.239878448,2.0,0,1.0,0.0,2.0,0
5-FU_DASATINIB_A2058,5-FU,DASATINIB,A2058,31.12564418,1.0,0,1.0,1.0,2.0,0
5-FU_DINACICLIB_A2058,5-FU,DINACICLIB,A2058,4.331695207,0.0,0,1.0,1.0,1.0,0
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,A2058,9.694285755,3.0,0,1.0,1.0,2.0,0
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,A2058,7.376709237999999,4.0,0,1.0,1.0,4.0,0
5-FU_L778123_A2058,5-FU,L778123,A2058,9.728264798,1.0,0,1.0,1.0,3.0,0
5-FU_LAPATINIB_A2058,5-FU,LAPATINIB,A2058,9.192138149,1.0,0,1.0,1.0,1.0,0
5-FU_MK-2206_A2058,5-FU,MK-2206,A2058,15.9003976,2.0,0,1.0,1.0,1.0,0
5-FU_MK-4827_A2058,5-FU,MK-4827,A2058,6.738059724,3.0,0,1.0,1.0,2.0,0
5-FU_MK-5108_A2058,5-FU,MK-5108,A2058,1.804895456,2.0,0,1.0,1.0,4.0,0
5-FU_MK-8669_A2058,5-FU,MK-8669,A2058,32.33623166,0.0,0,1.0,1.0,0.0,0
5-FU_MK-8776_A2058,5-FU,MK-8776,A2058,24.27497218,4.0,0,1.0,1.0,4.0,0
5-FU_MK-8776_A2058,5-FU,MK-8776,A2058,22.77045382,4.0,0,1.0,1.0,4.0,0
5-FU_PD325901_A2058,5-FU,PD325901,A2058,2.264834547,0.0,0,1.0,1.0,4.0,0
5-FU_SORAFENIB_A2058,5-FU,SORAFENIB,A2058,1.487456177,2.0,0,1.0,1.0,2.0,0
5-FU_SUNITINIB_A2058,5-FU,SUNITINIB,A2058,9.621620126,3.0,0,1.0,1.0,0.0,0
5-FU_ZOLINZA_A2058,5-FU,ZOLINZA,A2058,-5.508119589,2.0,0,1.0,1.0,4.0,0
ABT-888_BEZ-235_A2058,ABT-888,BEZ-235,A2058,24.07097148,3.0,0,4.0,1.0,2.0,0
ABT-888_DINACICLIB_A2058,ABT-888,DINACICLIB,A2058,11.14872164,4.0,0,4.0,1.0,0.0,0
ABT-888_GELDANAMYCIN_A2058,ABT-888,GELDANAMYCIN,A2058,22.66972082,3.0,0,4.0,1.0,3.0,0
ABT-888_MK-8669_A2058,ABT-888,MK-8669,A2058,24.76000602,1.0,0,4.0,1.0,0.0,0
ABT-888_MK-8776_A2058,ABT-888,MK-8776,A2058,15.4587204,4.0,0,4.0,1.0,2.0,0
ABT-888_SN-38_A2058,ABT-888,SN-38,A2058,37.19755244,0.0,0,4.0,1.0,1.0,0
ABT-888_SORAFENIB_A2058,ABT-888,SORAFENIB,A2058,36.19616521,1.0,0,4.0,1.0,3.0,0
ABT-888_TOPOTECAN_A2058,ABT-888,TOPOTECAN,A2058,-1.187531198,1.0,0,4.0,1.0,2.0,0
AZD1775_ABT-888_A2058,AZD1775,ABT-888,A2058,10.248807800000002,2.0,0,4.0,0.0,3.0,0
AZD1775_BEZ-235_A2058,AZD1775,BEZ-235,A2058,22.52066544,4.0,0,4.0,0.0,3.0,0
AZD1775_BEZ-235_A2058,AZD1775,BEZ-235,A2058,-2.164298041,4.0,0,4.0,0.0,3.0,0
AZD1775_BORTEZOMIB_A2058,AZD1775,BORTEZOMIB,A2058,0.238015548,2.0,0,4.0,0.0,4.0,0
AZD1775_DASATINIB_A2058,AZD1775,DASATINIB,A2058,54.7695814,3.0,0,4.0,0.0,2.0,0
AZD1775_DASATINIB_A2058,AZD1775,DASATINIB,A2058,15.17165908,3.0,0,4.0,0.0,2.0,0
AZD1775_DINACICLIB_A2058,AZD1775,DINACICLIB,A2058,-12.36585978,0.0,0,4.0,0.0,3.0,0
AZD1775_ERLOTINIB_A2058,AZD1775,ERLOTINIB,A2058,6.977962949,3.0,0,4.0,0.0,2.0,0
AZD1775_GELDANAMYCIN_A2058,AZD1775,GELDANAMYCIN,A2058,8.144043683,1.0,0,4.0,0.0,3.0,0
AZD1775_LAPATINIB_A2058,AZD1775,LAPATINIB,A2058,7.228353734,3.0,0,4.0,0.0,4.0,0
AZD1775_MK-2206_A2058,AZD1775,MK-2206,A2058,18.8447263,4.0,0,4.0,0.0,4.0,0
AZD1775_MK-4827_A2058,AZD1775,MK-4827,A2058,32.76872947,1.0,0,4.0,0.0,4.0,0
AZD1775_MK-5108_A2058,AZD1775,MK-5108,A2058,-9.504263856,0.0,0,4.0,0.0,2.0,0
AZD1775_MK-8669_A2058,AZD1775,MK-8669,A2058,38.93836298,4.0,0,4.0,0.0,3.0,0
AZD1775_MK-8776_A2058,AZD1775,MK-8776,A2058,80.17940179,3.0,0,4.0,0.0,3.0,0
AZD1775_MK-8776_A2058,AZD1775,MK-8776,A2058,58.9737,3.0,0,4.0,0.0,3.0,0
AZD1775_PD325901_A2058,AZD1775,PD325901,A2058,9.712938762,4.0,0,4.0,0.0,4.0,0
AZD1775_SN-38_A2058,AZD1775,SN-38,A2058,3.074617189,0.0,0,4.0,0.0,4.0,0
AZD1775_SORAFENIB_A2058,AZD1775,SORAFENIB,A2058,-7.530589635,1.0,0,4.0,0.0,4.0,0
AZD1775_TOPOTECAN_A2058,AZD1775,TOPOTECAN,A2058,5.715017592000001,3.0,0,4.0,0.0,4.0,0
BEZ-235_DINACICLIB_A2058,BEZ-235,DINACICLIB,A2058,12.82913573,0.0,0,2.0,1.0,4.0,0
BEZ-235_MK-8776_A2058,BEZ-235,MK-8776,A2058,65.61573897,2.0,0,2.0,1.0,0.0,0
BEZ-235_SN-38_A2058,BEZ-235,SN-38,A2058,1.933351029,4.0,0,2.0,1.0,3.0,0
